Timestamp_ms,RAW_ADC,Label
7889,39,Rest
7899,1023,Rest
7909,40,Rest
7919,1023,Rest
7929,32,Rest
7939,1023,Rest
7949,36,Rest
7959,1023,Rest
7969,31,Rest
7979,1023,Rest
7989,41,Rest
7999,1023,Rest
8009,39,Rest
8019,1023,Rest
8029,33,Rest
8039,994,Rest
8049,29,Rest
8059,1011,Rest
8069,30,Rest
8079,945,Rest
8089,27,Rest
8099,836,Rest
8109,23,Rest
8119,803,Rest
8129,22,Rest
8139,809,Rest
8148,23,Rest
8159,687,Rest
8169,20,Rest
8179,544,Rest
8189,16,Rest
8199,566,Rest
8209,18,Rest
8219,551,Rest
8229,19,Rest
8239,461,Rest
8249,17,Rest
8259,500,Rest
8269,21,Rest
8279,607,Rest
8289,27,Rest
8299,486,Rest
8309,24,Rest
8320,472,Rest
8329,26,Rest
8339,605,Rest
8349,32,Rest
8359,496,Rest
8369,29,Rest
8379,434,Rest
8389,30,Rest
8399,371,Rest
8409,27,Rest
8419,305,Rest
8429,26,Rest
8439,312,Rest
